index,answer
0,2
1,4
2,2
3,3
4,3
5,3
6,2
7,2
8,2
9,2
10,4
11,2
12,3
13,2
14,1
15,4
16,2
17,2
18,3
19,3
20,2
21,2
22,2
23,3
24,1
25,1
26,1
27,3
28,3
29,2
30,2
31,2
32,3
33,1
34,1
35,3
36,3
37,1
38,1
39,1
40,4
41,3
42,1
43,1
44,4
45,4
46,3
47,3
48,1
49,2
50,2
51,1
52,3
53,2
54,3
55,3
56,2
57,1
58,3
59,4
60,3
61,3
62,1
63,2
64,2
65,3
66,2
67,1
68,2
69,2
70,1
71,2
72,1
73,3
74,1
75,1
76,2
77,1
78,1
79,1
80,3
81,1
82,3
83,3
84,3
85,1
86,2
87,1
88,2
89,2
90,3
91,4
92,3
93,2
94,2
95,2
96,3
97,3
98,3
99,1
